trad,simp,pinyin,trans
羊肉泡饅,羊肉泡馍,yang2 rou4 pao4 mo2,Spécialité culinaire de Xi'an, pain trempé dans une soupe d'agneau
臊子麵,臊子面,sao4 zi mian4,Soupe de nouilles épicées, spécialité du Shaanxi
